:centre,:days,:cif-transplant,:cif-removal,:cif-death,:cif-all
Belfast,0.0,0.0,0.0,0.0,0.0
Belfast,0.0,0.0039080061,0.0025269167,0.0,0.0076718325
Belfast,3.0,0.0039080061,0.0025269167,0.0035350328,0.0114982942
Belfast,5.0,0.0039080061,0.005052573,0.0035350328,0.0153171029
Belfast,25.0,0.0078055167,0.005052573,0.0035350328,0.0191289029
Belfast,26.0,0.011713091,0.005052573,0.0035350328,0.022945551
Belfast,79.0,0.0156341641,0.005052573,0.0035350328,0.0267774097
Belfast,83.0,0.0195717285,0.005052573,0.0035350328,0.0306190282
Belfast,91.0,0.0235148726,0.005052573,0.0035350328,0.0344616558
Belfast,99.0,0.0274680618,0.005052573,0.0035350328,0.0383154585
Belfast,133.0,0.0274680618,0.005052573,0.0070857385,0.0421836345
Belfast,136.0,0.0314330975,0.005052573,0.0070857385,0.0460484203
Belfast,157.0,0.0354418652,0.005052573,0.0070857385,0.0499366025
Belfast,163.0,0.0434319568,0.005052573,0.0070857385,0.0576971011
Belfast,166.0,0.0474368304,0.005052573,0.0070857385,0.0615921014
Belfast,169.0,0.0514467311,0.005052573,0.0070857385,0.0654886675
Belfast,175.0,0.0554561645,0.005052573,0.0070857385,0.0693822502
Belfast,179.0,0.0594605563,0.005052573,0.0070857385,0.0732704237
Belfast,191.0,0.0634949244,0.005052573,0.0070857385,0.0771725047
Belfast,201.0,0.0675721748,0.005052573,0.0070857385,0.0810949719
Belfast,208.0,0.0716346727,0.005052573,0.0070857385,0.0850040426
Belfast,226.0,0.0757011203,0.005052573,0.0070857385,0.0889101595
Belfast,227.0,0.0797707015,0.005052573,0.0070857385,0.0928170462
Belfast,243.0,0.0838392261,0.005052573,0.0070857385,0.0967197369
Belfast,252.0,0.0879115074,0.005052573,0.0070857385,0.100631261
Belfast,263.0,0.0879115074,0.0075941291,0.0070857385,0.1045457458
Belfast,264.0,0.0919951693,0.0075941291,0.0070857385,0.1084575186
Belfast,267.0,0.0960778499,0.0075941291,0.0070857385,0.1123688573
Belfast,293.0,0.0960778499,0.0101342367,0.0070857385,0.1162713279
Belfast,294.0,0.0960778499,0.0101342367,0.0106569072,0.120171036
Belfast,298.0,0.0960778499,0.0101342367,0.0142291439,0.124064622
Belfast,309.0,0.0960778499,0.0101342367,0.0177961702,0.127948475
Belfast,315.0,0.0960778499,0.012701281,0.0177961702,0.1318270809
Belfast,317.0,0.1001515845,0.012701281,0.0177961702,0.1357008306
Belfast,355.0,0.1001515845,0.0152759718,0.0177961702,0.139585502
Belfast,361.0,0.1001515845,0.0152759718,0.0213623231,0.1434676946
Belfast,363.0,0.1042483135,0.0152759718,0.0213623231,0.1473452536
Belfast,369.0,0.1083476625,0.0152759718,0.0213623231,0.1512216958
Belfast,377.0,0.1083476625,0.0178497441,0.0213623231,0.15511581
Belfast,382.0,0.1165767094,0.0178497441,0.0213623231,0.1628598884
Belfast,392.0,0.120710819,0.0178497441,0.0213623231,0.1667447989
Belfast,412.0,0.120710819,0.0204433906,0.0213623231,0.1706232945
Belfast,424.0,0.1248358103,0.0204433906,0.0213623231,0.1744991433
Belfast,429.0,0.1289719481,0.0204433906,0.0213623231,0.1783804299
Belfast,431.0,0.1331213621,0.0204433906,0.0213623231,0.1822699405
Belfast,441.0,0.1372852328,0.0204433906,0.0213623231,0.1861684194
Belfast,456.0,0.1372852328,0.0230372283,0.0213623231,0.1900665976
Belfast,464.0,0.141450725,0.0230372283,0.0213623231,0.1939596297
Belfast,476.0,0.1456028521,0.0230372283,0.0213623231,0.1978466702
Belfast,487.0,0.1498208453,0.0230372283,0.0213623231,0.2017674138
Belfast,488.0,0.1540373806,0.0230372283,0.0213623231,0.2056956491
Belfast,494.0,0.1540373806,0.0256351005,0.0213623231,0.2096198836
Belfast,505.0,0.1540373806,0.0256351005,0.0249354694,0.2135507933
Belfast,506.0,0.1540373806,0.0282408014,0.0249354694,0.2174853175
Belfast,509.0,0.1582472882,0.0282408014,0.0249354694,0.2214096992
Belfast,517.0,0.1624829268,0.0282408014,0.0249354694,0.2253469228
Belfast,521.0,0.1667340717,0.0282408014,0.0249354694,0.2292996861
Belfast,529.0,0.1709966377,0.0282408014,0.0249354694,0.2332535226
Belfast,532.0,0.1752527129,0.0282408014,0.0249354694,0.2372005913
Belfast,540.0,0.1752527129,0.0282408014,0.0285061176,0.2411367916
Belfast,549.0,0.1752527129,0.0308564903,0.0285061176,0.2450696777
Belfast,558.0,0.1795086209,0.0308564903,0.0321242594,0.2529237309
Belfast,561.0,0.183789025,0.0308564903,0.0321242594,0.2568702836
Belfast,568.0,0.1880687826,0.0308564903,0.0321242594,0.2608226261
Belfast,569.0,0.196696003,0.0308564903,0.0357372802,0.2726912721
Belfast,574.0,0.2010243514,0.0308564903,0.0357372802,0.2766822687
Belfast,591.0,0.2053613973,0.0308564903,0.0357372802,0.2806740459
