:centre,:days,:cif-survival
Belfast,0.0,1.0
Belfast,31.0,0.9987611141
Belfast,79.0,0.9974747817
Belfast,126.0,0.9961469916
Belfast,151.0,0.9948185888
Belfast,263.0,0.9934876594
Belfast,386.0,0.9920096765
Belfast,394.0,0.9904746037
Belfast,426.0,0.9889035091
Belfast,482.0,0.9872867846
Belfast,664.0,0.9856432799
Belfast,756.0,0.9838061935
Belfast,925.0,0.9818376974
Belfast,1030.0,0.9798154072
Belfast,1062.0,0.9777578477
Belfast,1249.0,0.9754277942
Belfast,1311.0,0.9730212047
Belfast,1421.0,0.9704679734
Belfast,1727.0,0.9665176854
Belfast,1776.0,0.9618081457
Newcastle,0.0,1.0
Newcastle,25.0,0.9992700431
Newcastle,34.0,0.998533449
Newcastle,52.0,0.9977897712
Newcastle,53.0,0.9970451885
Newcastle,61.0,0.996299503
Newcastle,79.0,0.9955472418
Newcastle,85.0,0.9947871955
Newcastle,128.0,0.9940202231
Newcastle,133.0,0.9932482007
Newcastle,151.0,0.9924675481
Newcastle,171.0,0.9916848409
Newcastle,251.0,0.9908980702
Newcastle,271.0,0.9901075399
Newcastle,272.0,0.9893138057
Newcastle,301.0,0.9885120564
Newcastle,318.0,0.9877067646
Newcastle,347.0,0.986897523
Newcastle,349.0,0.9860877976
Newcastle,405.0,0.9852357595
Newcastle,440.0,0.9843698777
Newcastle,454.0,0.9835007295
Newcastle,493.0,0.9826312973
Newcastle,502.0,0.9817584464
Newcastle,518.0,0.9808792654
Newcastle,569.0,0.9799882216
Newcastle,575.0,0.9790959953
Newcastle,580.0,0.978200691
Newcastle,583.0,0.977301225
Newcastle,726.0,0.9763027971
Newcastle,772.0,0.97519075
Newcastle,778.0,0.9740731597
Newcastle,827.0,0.9729252178
Newcastle,1001.0,0.9717534028
Newcastle,1004.0,0.9705792226
Newcastle,1081.0,0.9692743728
Newcastle,1091.0,0.9679541369
Newcastle,1103.0,0.9666043784
Newcastle,1111.0,0.9652350726
Newcastle,1117.0,0.9638379068
Newcastle,1131.0,0.9624180649
Newcastle,1189.0,0.9609679663
Newcastle,1215.0,0.9595046194
Newcastle,1224.0,0.9580235931
Newcastle,1231.0,0.9565318183
Newcastle,1280.0,0.9550093577
Newcastle,1349.0,0.9534817494
Newcastle,1482.0,0.9517206952
Newcastle,1486.0,0.9498910431
Newcastle,1513.0,0.9480024178
Newcastle,1518.0,0.9461074865
Newcastle,1555.0,0.9442065085
Newcastle,1568.0,0.9422692726
Newcastle,1595.0,0.9403190295
Newcastle,1613.0,0.9383698646
Newcastle,1685.0,0.9363960571
Newcastle,1812.0,0.9341413226
Leeds,0.0,1.0
Leeds,15.0,0.9995027222
Leeds,36.0,0.9990046854
Leeds,66.0,0.9985044661
Leeds,95.0,0.998003064
Leeds,114.0,0.996999202
Leeds,132.0,0.9964964237
Leeds,149.0,0.995991381
Leeds,152.0,0.9954853536
Leeds,177.0,0.9949794525
Leeds,189.0,0.9944726171
Leeds,227.0,0.9939620622
Leeds,365.0,0.9934055531
Leeds,385.0,0.9928469016
Leeds,411.0,0.9922854032
Leeds,597.0,0.9917098138
Leeds,598.0,0.991132296
Leeds,623.0,0.9905530877
Leeds,646.0,0.9899714232
Leeds,687.0,0.9893753763
Leeds,709.0,0.9887635477
Leeds,817.0,0.9880996694
Leeds,870.0,0.9874297547
Leeds,908.0,0.98675649
Leeds,956.0,0.9860784319
Leeds,969.0,0.985398203
Leeds,1028.0,0.9847112139
Leeds,1067.0,0.9839984034
Leeds,1089.0,0.9832489565
Leeds,1165.0,0.9824584643
Leeds,1180.0,0.9816627839
Leeds,1232.0,0.9808665753
Leeds,1296.0,0.9800657735
Leeds,1319.0,0.9792649167
Leeds,1385.0,0.9784459284
Leeds,1401.0,0.9776163848
Leeds,1501.0,0.9765945261
Leeds,1603.0,0.9755365276
Leeds,1632.0,0.9744766975
Leeds,1633.0,0.9734118554
Leeds,1642.0,0.970201426
Leeds,1804.0,0.968948129
Leicester,0.0,1.0
Leicester,11.0,0.9991526939
Leicester,15.0,0.9983027396
Leicester,51.0,0.9974464747
Leicester,99.0,0.9965715357
Leicester,125.0,0.9956938579
Leicester,159.0,0.9948105468
Leicester,181.0,0.9939240231
Leicester,193.0,0.9930340116
Leicester,234.0,0.9921371565
Leicester,249.0,0.9912369808
Leicester,271.0,0.9903334565
Leicester,374.0,0.9894082076
Leicester,501.0,0.9884659015
Leicester,554.0,0.9875191318
Leicester,558.0,0.9865625024
Leicester,578.0,0.9856006524
Leicester,648.0,0.9846086863
Leicester,815.0,0.983454283
Leicester,820.0,0.982299111
Leicester,832.0,0.9811387912
Leicester,835.0,0.9799730839
Leicester,874.0,0.9788016924
Leicester,882.0,0.9776195775
Leicester,934.0,0.9764363589
Leicester,1002.0,0.9752106069
Leicester,1064.0,0.9739160475
Leicester,1123.0,0.9725431761
Leicester,1135.0,0.9711657862
Leicester,1599.0,0.9694013897
Leicester,1650.0,0.9676243236
Nottingham,0.0,1.0
Nottingham,57.0,0.9991479556
Nottingham,103.0,0.9982546495
Nottingham,132.0,0.9973484335
Nottingham,141.0,0.9964401323
Nottingham,156.0,0.9955304772
Nottingham,182.0,0.9946162863
Nottingham,306.0,0.9936833523
Nottingham,396.0,0.9926386956
Nottingham,539.0,0.9915524296
Nottingham,554.0,0.9904632461
Nottingham,628.0,0.9893688581
Nottingham,721.0,0.9882240705
Nottingham,891.0,0.9869232152
Nottingham,934.0,0.9856076591
Nottingham,1041.0,0.984257016
Nottingham,1056.0,0.9828977184
Nottingham,1139.0,0.9813672237
Nottingham,1381.0,0.9797962895
Nottingham,1443.0,0.9781866679
Nottingham,1704.0,0.9763148502
Nottingham,1711.0,0.9744391167
Sheffield,0.0,1.0
Sheffield,5.0,0.9988116671
Sheffield,11.0,0.9976216785
Sheffield,13.0,0.9964189334
Sheffield,89.0,0.9952009008
Sheffield,253.0,0.9939493538
Sheffield,322.0,0.9926808796
Sheffield,568.0,0.9912389389
Sheffield,602.0,0.9897747331
Sheffield,819.0,0.9880318848
Sheffield,852.0,0.9862840465
Sheffield,1051.0,0.9843939179
Sheffield,1090.0,0.9823876389
Sheffield,1391.0,0.9800297574
Sheffield,1806.0,0.9767437176
Cambridge,0.0,1.0
Cambridge,0.0,0.999482158
Cambridge,1.0,0.9989546635
Cambridge,2.0,0.9984261436
Cambridge,15.0,0.9978945855
Cambridge,23.0,0.997362802
Cambridge,55.0,0.9968272499
Cambridge,79.0,0.9962876373
Cambridge,90.0,0.9957444809
Cambridge,135.0,0.9951930841
Cambridge,180.0,0.9946390034
Cambridge,201.0,0.9940830392
Cambridge,203.0,0.993525328
Cambridge,240.0,0.9929671537
Cambridge,263.0,0.9924085112
Cambridge,297.0,0.9918475887
Cambridge,347.0,0.9912788488
Cambridge,396.0,0.9906747405
Cambridge,418.0,0.9900665284
Cambridge,421.0,0.989457573
Cambridge,444.0,0.9888476425
Cambridge,474.0,0.9882341374
Cambridge,539.0,0.9876180079
Cambridge,634.0,0.986993559
Cambridge,645.0,0.9863650268
Cambridge,667.0,0.9857267324
Cambridge,672.0,0.9850867266
Cambridge,744.0,0.9843849042
