:centre,:days,:cif-from-listing
Newcastle,0.0,1.0
Newcastle,0.0,0.9976876188710635
Newcastle,1.0,0.9953782260753643
Newcastle,2.0,0.9907679909728523
Newcastle,4.0,0.9884617732843296
Newcastle,6.0,0.9838490644718464
Newcastle,12.0,0.9815438415365783
Newcastle,21.0,0.9792396477504591
Newcastle,22.0,0.9769364692467386
Newcastle,24.0,0.9746344671973703
Newcastle,25.0,0.9723351265234261
Newcastle,28.0,0.9700376667381451
Newcastle,30.0,0.9677418303666383
Newcastle,31.0,0.9654479285870924
Newcastle,32.0,0.9631560326880454
Newcastle,34.0,0.9608656047687132
Newcastle,38.0,0.9562923614138773
Newcastle,40.0,0.9540059862026279
Newcastle,41.0,0.951715717624425
Newcastle,45.0,0.9494272839760594
Newcastle,46.0,0.9471403920379411
Newcastle,47.0,0.944855079030574
Newcastle,50.0,0.9402918755774146
Newcastle,51.0,0.9380094558387858
Newcastle,53.0,0.9357286108913525
Newcastle,54.0,0.9334486210725705
Newcastle,56.0,0.9311706451092914
Newcastle,58.0,0.928895843973699
Newcastle,59.0,0.9266229220350432
Newcastle,64.0,0.9153227549220846
Newcastle,65.0,0.9130578094129957
Newcastle,67.0,0.910794918085461
Newcastle,68.0,0.9085340621403469
Newcastle,70.0,0.9040221899290355
Newcastle,78.0,0.9017668434137419
Newcastle,79.0,0.8995133672832719
Newcastle,80.0,0.8972618637929373
Newcastle,81.0,0.8950108842574954
Newcastle,83.0,0.8905164349375267
Newcastle,84.0,0.8860264613585745
Newcastle,87.0,0.8837836880014955
Newcastle,88.0,0.8770773269776736
Newcastle,90.0,0.8748409403185385
Newcastle,92.0,0.8703769108713854
Newcastle,93.0,0.868144584367472
Newcastle,94.0,0.8659127898515635
Newcastle,96.0,0.8636827105967801
Newcastle,101.0,0.8592319155925093
Newcastle,103.0,0.8547786499032055
Newcastle,105.0,0.852551890135926
Newcastle,106.0,0.8503261244051168
Newcastle,107.0,0.8481011538224644
Newcastle,108.0,0.845877514659813
Newcastle,111.0,0.8436559020372731
Newcastle,114.0,0.8414375662370187
Newcastle,122.0,0.8370104814799286
Newcastle,123.0,0.8325886396901705
Newcastle,124.0,0.8303801300274777
Newcastle,126.0,0.8281730728968396
Newcastle,128.0,0.8259683018345566
Newcastle,132.0,0.823760951387162
Newcastle,144.0,0.8193541858409324
Newcastle,145.0,0.8171503753090434
Newcastle,148.0,0.8105608814661476
Newcastle,152.0,0.8083603455331939
Newcastle,154.0,0.8061633683740526
Newcastle,158.0,0.8039688686870888
Newcastle,162.0,0.79959282387257
Newcastle,163.0,0.7952238250218144
Newcastle,164.0,0.7930387043028008
Newcastle,166.0,0.7908547222322327
Newcastle,168.0,0.7886730747289673
Newcastle,169.0,0.7864933753329287
Newcastle,172.0,0.7843157606995099
Newcastle,174.0,0.7778107438031119
Newcastle,176.0,0.7756407084604163
Newcastle,183.0,0.7713009379322329
Newcastle,187.0,0.7669577688403285
Newcastle,192.0,0.7647851183176918
Newcastle,198.0,0.7626140953122634
Newcastle,199.0,0.760445002160514
Newcastle,203.0,0.7561167019564765
Newcastle,204.0,0.753954755917226
Newcastle,205.0,0.7517962742270528
Newcastle,206.0,0.7496385373845964
Newcastle,209.0,0.7453333020750379
Newcastle,224.0,0.7410222035315988
Newcastle,225.0,0.7367177528091774
Newcastle,226.0,0.7345672783462094
Newcastle,229.0,0.7324184539193678
Newcastle,230.0,0.7281310640807064
Newcastle,238.0,0.7259884394901379
Newcastle,239.0,0.7217140504419979
Newcastle,240.0,0.7174394536264261
Newcastle,248.0,0.7153039458205221
Newcastle,250.0,0.7110435892931101
Newcastle,258.0,0.7089157250292542
Newcastle,260.0,0.7067885137732088
Newcastle,266.0,0.704660330204596
Newcastle,268.0,0.7025330390497302
Newcastle,269.0,0.6982890350628977
Newcastle,271.0,0.6961690961918438
Newcastle,277.0,0.6919428372604457
Newcastle,278.0,0.6898296032563931
Newcastle,282.0,0.6877180899328789
Newcastle,285.0,0.6856080402061577
Newcastle,287.0,0.6835003060274029
Newcastle,289.0,0.6813938627149285
