:model,:factor,:min,:max,:dps,:knot1,:knot2,:knot3,:knot4
:waiting,:fvc,0.0,5.0,2.0,0.94,1.63,2.22,3.55
:waiting,:age,16.0,70.0,0.0,21.0,44.0,56.0,63.0
:waiting,:bmi,10.0,100.0,0.0,,,,
:waiting,:bilirubin,0.0,100.0,0.0,,,,
:post-transplant,:age,16.0,70.0,0.0,22.0,46.0,56.0,63.0
:post-transplant,:tlc-mismatch,-2.2,4.5,1.0,,,,
:post-transplant,:fvc,0.35,6.8,1.0,,,,
:post-transplant,:bilirubin,1.0,77.0,0.0,,,,
:post-transplant,:cholesterol,1.3,9.0,1.0,,,,
:from-listing,:age,16.0,70.0,0.0,,,,
:from-listing,:bmi,14.0,35.7,1.0,,,,
