:centre,:days,:cif-survival
Birmingham,0.0,1.0
Birmingham,1.0,0.9671865804669704
Birmingham,9.0,0.9507856044219115
Birmingham,10.0,0.9345722293688247
Birmingham,16.0,0.9027421683844052
Birmingham,18.0,0.8867655079520931
Birmingham,21.0,0.8552981632884797
Birmingham,25.0,0.8395641418995994
Birmingham,26.0,0.8237878844624339
Birmingham,42.0,0.8082233129206216
Birmingham,56.0,0.7927065057377338
Birmingham,57.0,0.7771412423477385
Birmingham,69.0,0.7617781253782971
Birmingham,70.0,0.746499393160801
Birmingham,80.0,0.7314407062206927
Birmingham,105.0,0.7161976751171686
Birmingham,114.0,0.7011371934474866
Birmingham,121.0,0.686037247500897
Birmingham,122.0,0.6710363412607079
Birmingham,138.0,0.6561561545718715
Birmingham,157.0,0.6413853902667066
Birmingham,173.0,0.6121329419035527
Birmingham,177.0,0.5975027418935683
Birmingham,193.0,0.5830651631708994
Birmingham,237.0,0.5688247471324465
Birmingham,276.0,0.5547436113614586
Birmingham,289.0,0.5408565067747154
Birmingham,292.0,0.527037337285379
Birmingham,297.0,0.5134172317869664
Birmingham,303.0,0.49997848572326914
Birmingham,310.0,0.4866619983544992
Birmingham,403.0,0.4726521861427625
Birmingham,439.0,0.4588010740577389
Birmingham,517.0,0.4320292881346191
Birmingham,553.0,0.41880747795243384
Birmingham,558.0,0.4056540326630729
Birmingham,723.0,0.3914859979414761
Birmingham,732.0,0.3772804292299243
Birmingham,827.0,0.362025927908045
Birmingham,1258.0,0.3454286483147827
Birmingham,1572.0,0.3229164257152233
Birmingham,1825.0,0.3229164257152233
Harefield,0.0,1.0
Harefield,0.0,0.9920725256640288
Harefield,1.0,0.9841801633488833
Harefield,3.0,0.9763214435295883
Harefield,4.0,0.9685086847814303
Harefield,6.0,0.9529804384030285
Harefield,7.0,0.945249172412564
Harefield,8.0,0.9375431255493974
Harefield,9.0,0.9298520876259531
Harefield,10.0,0.9221753505433447
Harefield,11.0,0.9145220924506012
Harefield,13.0,0.9068913672413954
Harefield,15.0,0.8992928444089877
Harefield,19.0,0.8842034695198129
Harefield,25.0,0.8767011575335267
Harefield,29.0,0.8692183662228321
Harefield,38.0,0.8617852739366536
Harefield,41.0,0.8543868362599311
