:centre,:days,:cif-transplant,:cif-removal,:cif-death,:cif-all
Newcastle,0.0,0.0,0.0,0.0,0.0
Newcastle,0.0,0.0038201193,0.0,0.0012502709,0.0101090175
Newcastle,1.0,0.0067035672,0.0,0.0024995913,0.0182354839
Newcastle,2.0,0.0086334985,0.0,0.0049968042,0.0263778677
Newcastle,4.0,0.0105712394,0.0,0.0062511173,0.0325230492
Newcastle,6.0,0.0115426825,0.0,0.0075199936,0.0366509795
Newcastle,7.0,0.0125191326,0.0,0.0075199936,0.0387215828
Newcastle,8.0,0.0134972076,0.0,0.0075199936,0.0407912658
Newcastle,10.0,0.0154584344,0.0,0.0075199936,0.0449245783
Newcastle,11.0,0.0164439159,0.0,0.0075199936,0.047000006
Newcastle,12.0,0.0174300327,0.0,0.0075199936,0.0490742335
Newcastle,13.0,0.0184173793,0.0,0.0075199936,0.0511493201
Newcastle,15.0,0.0194050329,0.0,0.0075199936,0.0532231592
Newcastle,16.0,0.0203925142,0.0,0.0075199936,0.0552951345
Newcastle,17.0,0.0213808194,0.0,0.0075199936,0.0573650587
Newcastle,18.0,0.0243507179,0.0,0.0075199936,0.0635627613
Newcastle,21.0,0.0243507179,0.0,0.0087890148,0.0656316643
Newcastle,22.0,0.0253446764,0.0,0.0100575107,0.0697671948
Newcastle,24.0,0.0283229802,0.0,0.0113275161,0.0780307704
Newcastle,25.0,0.0293193407,0.0,0.0125968449,0.0821705242
Newcastle,28.0,0.0293193407,0.0,0.0138681384,0.0842424823
Newcastle,30.0,0.0313140522,0.0,0.0151408311,0.0904477068
Newcastle,31.0,0.033311319,0.0,0.0164152897,0.0966571813
Newcastle,32.0,0.033311319,0.0,0.0176925313,0.0987298871
Newcastle,33.0,0.0343131913,0.0,0.0176925313,0.1008034338
Newcastle,34.0,0.0353179704,0.0,0.0176925313,0.1028814671
Newcastle,35.0,0.0373311262,0.0,0.0176925313,0.1070452125
Newcastle,36.0,0.0393520874,0.0,0.0176925313,0.1112072325
Newcastle,38.0,0.0393520874,0.0,0.0189689485,0.1132941101
Newcastle,39.0,0.0403647732,0.0,0.0189689485,0.1153793725
Newcastle,40.0,0.0413804785,0.0,0.0202458898,0.1195419666
Newcastle,41.0,0.042399035,0.0,0.0215380751,0.1237276441
Newcastle,42.0,0.0444369997,0.0,0.0215380751,0.1279058661
Newcastle,45.0,0.0454580295,0.0,0.0228300281,0.1320800291
Newcastle,47.0,0.0464823499,0.0,0.0241256248,0.1362609776
Newcastle,48.0,0.0485298212,0.0,0.0241256248,0.1404401506
Newcastle,49.0,0.0505842112,0.0,0.0241256248,0.1446293564
Newcastle,50.0,0.0505842112,0.0,0.0267154676,0.1488146699
Newcastle,51.0,0.0516154846,0.0,0.0280143111,0.1529996011
Newcastle,53.0,0.0536805638,0.0,0.0293160456,0.1592711403
Newcastle,54.0,0.0557499721,0.0,0.0306214261,0.1655391866
Newcastle,57.0,0.0588630547,0.0,0.0306214261,0.1718135624
Newcastle,58.0,0.0588630547,0.0,0.0319272786,0.1739112085
Newcastle,59.0,0.0609426724,0.0,0.0332369346,0.1801834162
Newcastle,60.0,0.0630253821,0.0,0.0332369346,0.1843618856
Newcastle,61.0,0.064072406,0.0,0.0332369346,0.1864526206
Newcastle,62.0,0.0651225016,0.0,0.0332369346,0.1885426676
