rec_unit,time,tx_surv,dth_surv,rem_surv
Belfast,0,1,1,1
Belfast,0,0.994481976,1,0.995734079
Belfast,3,0.994481976,0.995533425,0.995734079
Belfast,5,0.994481976,0.995533425,0.991459906
Belfast,26,0.988941929,0.995533425,0.991459906
Belfast,83,0.983376239,0.995533425,0.991459906
Belfast,91,0.977803057,0.995533425,0.991459906
Belfast,99,0.972206444,0.995533425,0.991459906
Belfast,133,0.972206444,0.990927077,0.991459906
Belfast,136,0.966560047,0.990927077,0.991459906
Belfast,163,0.960825646,0.990927077,0.991459906
Belfast,166,0.955109252,0.990927077,0.991459906
Belfast,169,0.949385761,0.990927077,0.991459906
Belfast,191,0.943666539,0.990927077,0.991459906
Belfast,201,0.937865854,0.990927077,0.991459906
Belfast,208,0.932096018,0.990927077,0.991459906
Belfast,227,0.926325674,0.990927077,0.991459906
Belfast,243,0.920561071,0.990927077,0.991459906
Belfast,252,0.914780223,0.990927077,0.991459906
Belfast,263,0.914780223,0.990927077,0.986903435
Belfast,264,0.908949447,0.990927077,0.986903435
Belfast,293,0.908949447,0.990927077,0.982327899
Belfast,294,0.908949447,0.986036961,0.982327899
Belfast,298,0.908949447,0.981143974,0.982327899
Belfast,309,0.908949447,0.976263604,0.982327899
Belfast,361,0.908949447,0.971385775,0.982327899
Belfast,363,0.903011675,0.971385775,0.982327899
Belfast,369,0.897071854,0.971385775,0.982327899
Belfast,377,0.897071854,0.971385775,0.977601316
Belfast,382,0.891070563,0.971385775,0.977601316
Belfast,392,0.885079275,0.971385775,0.977601316
Belfast,412,0.885079275,0.971385775,0.972807729
Belfast,424,0.879071797,0.971385775,0.972807729
Belfast,429,0.873043119,0.971385775,0.972807729
Belfast,456,0.873043119,0.971385775,0.96798619
Belfast,476,0.86695889,0.971385775,0.96798619
Belfast,487,0.860736087,0.971385775,0.96798619
Belfast,488,0.854504269,0.971385775,0.96798619
Belfast,505,0.854504269,0.966150994,0.96798619
Belfast,506,0.854504269,0.966150994,0.963077957
Belfast,509,0.848205834,0.966150994,0.963077957
Belfast,517,0.841851313,0.966150994,0.963077957
Belfast,532,0.835453808,0.966150994,0.963077957
Belfast,540,0.835453808,0.960830138,0.963077957
Belfast,549,0.835453808,0.960830138,0.958094196
Belfast,558,0.835453808,0.955397516,0.958094196
Belfast,561,0.828978197,0.955397516,0.958094196
Belfast,568,0.822498149,0.955397516,0.958094196
Belfast,569,0.81592026,0.949899868,0.958094196
Belfast,574,0.809270176,0.949899868,0.958094196
Belfast,593,0.802605517,0.949899868,0.958094196
Belfast,600,0.795948765,0.949899868,0.958094196
Belfast,614,0.795948765,0.949899868,0.952844362
Belfast,616,0.789243596,0.949899868,0.952844362
Belfast,619,0.789243596,0.949899868,0.947436698
Belfast,640,0.78251822,0.949899868,0.947436698
Belfast,643,0.78251822,0.949899868,0.941858984
Belfast,652,0.775763873,0.949899868,0.941858984
Belfast,656,0.768970248,0.949899868,0.941858984
Belfast,666,0.768970248,0.943903755,0.941858984
Belfast,670,0.762113567,0.943903755,0.941858984
Belfast,689,0.755261902,0.943903755,0.941858984
Belfast,690,0.755261902,0.943903755,0.936134731
Belfast,691,0.755261902,0.937781048,0.936134731
Belfast,693,0.755261902,0.937781048,0.930395542
Belfast,694,0.748125436,0.937781048,0.930395542
Belfast,700,0.748125436,0.931587099,0.930395542
Belfast,701,0.740997157,0.931587099,0.930395542
Belfast,715,0.733855215,0.931587099,0.930395542
Belfast,732,0.726757091,0.931587099,0.930395542
Belfast,735,0.719583298,0.931587099,0.930395542
Belfast,737,0.719583298,0.931587099,0.924249376
Belfast,747,0.712375999,0.931587099,0.924249376
Belfast,756,0.705129999,0.931587099,0.924249376
Belfast,764,0.697844475,0.931587099,0.924249376
Belfast,776,0.690608632,0.931587099,0.924249376
Belfast,777,0.683342884,0.931587099,0.924249376
Belfast,808,0.676113421,0.931587099,0.924249376
Belfast,809,0.676113421,0.931587099,0.91787396
Belfast,810,0.66168963,0.931587099,0.91787396
Belfast,820,0.66168963,0.931587099,0.911437724
Belfast,825,0.66168963,0.924516683,0.911437724
Belfast,832,0.646901972,0.917453028,0.911437724
Belfast,837,0.639424683,0.917453028,0.911437724
Belfast,861,0.631907952,0.917453028,0.911437724
Belfast,886,0.631907952,0.9101505,0.911437724
Belfast,888,0.624322009,0.9101505,0.911437724
Belfast,893,0.616772976,0.9101505,0.911437724
Belfast,905,0.609202562,0.9101505,0.911437724
Belfast,910,0.601684214,0.902506042,0.911437724
Belfast,917,0.601684214,0.902506042,0.904248477
Belfast,931,0.601684214,0.902506042,0.896941715
Belfast,935,0.59403581,0.902506042,0.896941715
Belfast,937,0.586429519,0.902506042,0.896941715
Belfast,941,0.578864202,0.902506042,0.896941715
Belfast,952,0.57134573,0.902506042,0.889092878
Belfast,974,0.57134573,0.902506042,0.880985726
Belfast,982,0.563777498,0.902506042,0.880985726
Belfast,993,0.563777498,0.902506042,0.872777958
Belfast,996,0.556105724,0.902506042,0.872777958
Belfast,997,0.548505675,0.893650722,0.872777958
Belfast,999,0.54087863,0.893650722,0.872777958
Belfast,1026,0.533298784,0.893650722,0.872777958
Belfast,1029,0.525806376,0.893650722,0.872777958
Belfast,1030,0.518342862,0.893650722,0.872777958
Belfast,1034,0.503366041,0.893650722,0.872777958
