rec_unit,time,surv
UK,0,1
UK,0,0.980037186
UK,1,0.978114201
UK,2,0.976576579
UK,3,0.975039524
UK,4,0.974271359
UK,6,0.972734987
UK,7,0.971582663
UK,8,0.970814533
UK,9,0.969662987
UK,10,0.969279082
UK,11,0.967361152
UK,12,0.96697747
UK,14,0.966593812
UK,19,0.966209929
UK,20,0.965442391
UK,22,0.965058444
UK,28,0.964674365
UK,30,0.964290241
UK,34,0.963906231
UK,40,0.963521959
UK,41,0.963137755
UK,45,0.962369432
UK,48,0.961985188
UK,64,0.961600706
UK,72,0.960831461
UK,84,0.96044544
UK,97,0.960057665
UK,101,0.959669515
UK,105,0.959281489
UK,112,0.958892992
UK,119,0.958504247
UK,132,0.95811528
UK,133,0.957726418
UK,137,0.95733759
UK,146,0.956948675
UK,150,0.956559683
UK,155,0.956170722
UK,158,0.955781803
UK,159,0.955392901
UK,169,0.95500403
UK,172,0.954615208
UK,173,0.954226115
UK,180,0.953836803
UK,189,0.953447319
UK,190,0.953057813
UK,191,0.952668385
UK,194,0.952279034
UK,200,0.951889701
UK,202,0.951500351
UK,203,0.951111037
UK,207,0.950721717
UK,218,0.950332224
UK,249,0.949942341
UK,254,0.949552544
UK,255,0.94916266
UK,259,0.948383116
UK,262,0.947993303
UK,271,0.947603396
UK,273,0.947213318
UK,274,0.946823237
UK,280,0.946433233
UK,281,0.946043289
UK,283,0.945653159
UK,304,0.945262459
UK,306,0.94487135
UK,313,0.944480311
UK,326,0.944089022
UK,330,0.943697634
UK,333,0.943306203
UK,334,0.94291478
UK,335,0.942523464
UK,337,0.942132088
UK,344,0.941739529
UK,352,0.941346181
UK,355,0.940952514
UK,359,0.940558396
UK,365,0.940163907
UK,372,0.939768197
UK,373,0.939372488
UK,378,0.938976592
UK,400,0.938580399
UK,403,0.938184279
UK,405,0.937788152
UK,408,0.936996233
UK,410,0.936600252
UK,416,0.935808227
UK,428,0.935411918
UK,429,0.935015658
UK,432,0.934619466
UK,454,0.934222786
UK,457,0.933825943
UK,464,0.933428632
UK,465,0.933031296
UK,468,0.932633652
UK,470,0.932236064
UK,483,0.931838442
UK,484,0.931440802
UK,496,0.931043169
UK,499,0.930645443
UK,508,0.9302474
UK,509,0.929849466
UK,523,0.929451122
UK,529,0.929052775
UK,531,0.928654359
UK,533,0.928255876
UK,539,0.927857333
UK,541,0.927458681
UK,561,0.92705963
UK,563,0.926660343
UK,595,0.92626089
UK,598,0.925861293
UK,600,0.925461749
UK,611,0.925061929
UK,624,0.924661884
UK,626,0.924261958
UK,627,0.923862103
UK,637,0.92346234
UK,646,0.923062431
UK,650,0.922662379
UK,651,0.922262382
UK,653,0.921862375
UK,677,0.921462118
UK,679,0.921061867
UK,693,0.920661017
UK,694,0.920260044
UK,695,0.919859099
UK,696,0.91945803
UK,703,0.919056976
UK,717,0.918655266
UK,724,0.91825323
UK,734,0.917850517
UK,747,0.917447067
UK,751,0.917043687
UK,753,0.916640288
UK,758,0.91623674
UK,759,0.915833017
UK,761,0.91502587
UK,779,0.914622295
UK,785,0.914218424
UK,793,0.913813782
UK,801,0.913408808
UK,802,0.913003874
UK,803,0.9125989
UK,807,0.912193996
UK,812,0.911788844
UK,828,0.911383382
UK,848,0.910977704
UK,861,0.910166581
UK,873,0.909760889
UK,889,0.909355151
UK,896,0.908949039
UK,899,0.908542826
UK,903,0.908136635
UK,907,0.90732415
UK,911,0.906917992
UK,923,0.906511647
UK,928,0.906105014
UK,930,0.905698475
UK,931,0.905292033
UK,936,0.904885633
UK,941,0.904479133
UK,944,0.904072513
UK,953,0.903665742
UK,965,0.903258888
UK,966,0.902852132
UK,968,0.902445393
UK,973,0.902038792
UK,981,0.901632158
UK,991,0.901225561
UK,993,0.900819024
UK,1000,0.900005687
UK,1001,0.899598771
UK,1003,0.89919187
UK,1011,0.898784723
UK,1013,0.897970737
UK,1024,0.897563059
UK,1026,0.897155417
UK,1032,0.896747805
UK,1036,0.896340251
UK,1043,0.895932599
UK,1049,0.895524725
UK,1054,0.895116843
UK,1065,0.894707979
UK,1067,0.894299014
UK,1068,0.893889984
UK,1075,0.893480545
UK,1082,0.893070786
UK,1085,0.892661123
UK,1089,0.892251205
UK,1092,0.891841304
UK,1097,0.891431309
UK,1098,0.891021026
