rec_unit,time,surv
Belfast,0,1
Belfast,0,0.95491726
Belfast,5,0.950632313
Belfast,6,0.94635089
Belfast,8,0.942075079
Belfast,328,0.937338914
Belfast,394,0.932188341
Belfast,433,0.926901442
Belfast,531,0.921587316
Belfast,561,0.916251993
Belfast,684,0.910812989
Belfast,734,0.904841994
Belfast,801,0.898315871
Belfast,858,0.891737044
Belfast,978,0.885037511
Belfast,1287,0.876826575
Belfast,1378,0.868490914
Belfast,1826,0.868490914
Newcastle,0,1
Newcastle,0,0.979726585
Newcastle,1,0.977156431
Newcastle,34,0.97455858
Newcastle,46,0.971943527
Newcastle,52,0.96933132
Newcastle,53,0.966720338
Newcastle,61,0.964111627
Newcastle,72,0.961497589
Newcastle,89,0.958866166
Newcastle,111,0.956230964
Newcastle,131,0.953582344
Newcastle,156,0.950905499
Newcastle,270,0.948216007
Newcastle,272,0.945521717
Newcastle,284,0.942829919
Newcastle,294,0.940139498
Newcastle,301,0.937444473
Newcastle,347,0.934719725
Newcastle,357,0.931973266
Newcastle,366,0.929212506
Newcastle,440,0.926340814
Newcastle,521,0.923439598
Newcastle,574,0.920526776
Newcastle,580,0.917605733
Newcastle,653,0.914670633
Newcastle,736,0.908008609
Newcastle,747,0.904589547
Newcastle,814,0.901062485
Newcastle,939,0.897529649
Newcastle,1040,0.893887935
Newcastle,1081,0.889936929
Newcastle,1103,0.885958034
Newcastle,1253,0.881633449
Newcastle,1262,0.87730809
Newcastle,1275,0.872988152
Newcastle,1294,0.868655185
Newcastle,1453,0.863897497
Newcastle,1524,0.858654924
Newcastle,1545,0.853411762
Newcastle,1595,0.848096199
Newcastle,1613,0.842796623
Newcastle,1676,0.837462633
Newcastle,1710,0.832098891
Newcastle,1780,0.826497707
Newcastle,1826,0.826497707
Leeds,0,1
Leeds,0,0.975901794
Leeds,1,0.972857642
Leeds,2,0.971335984
Leeds,7,0.969812368
Leeds,13,0.968285716
Leeds,27,0.966758985
Leeds,31,0.965232597
Leeds,47,0.963707095
Leeds,53,0.962181795
Leeds,54,0.960657092
Leeds,69,0.959128508
Leeds,90,0.957596731
Leeds,92,0.956063636
Leeds,111,0.954512965
Leeds,148,0.9529624
Leeds,217,0.951400452
Leeds,251,0.949833955
Leeds,255,0.948267516
Leeds,283,0.946697828
Leeds,284,0.945128349
Leeds,294,0.943558023
Leeds,299,0.941980239
Leeds,305,0.940404036
Leeds,310,0.938824513
Leeds,316,0.937243998
Leeds,318,0.935663507
Leeds,319,0.934082041
Leeds,364,0.932410612
Leeds,370,0.930707456
Leeds,419,0.928993918
Leeds,453,0.927282348
Leeds,469,0.925565695
Leeds,495,0.9238499
