rec_unit,time,surv
Birmingham,0,1
Birmingham,1,0.990591321
Birmingham,9,0.981028305
Birmingham,10,0.976214579
Birmingham,13,0.971405773
Birmingham,16,0.961797307
Birmingham,18,0.956920941
Birmingham,21,0.947156031
Birmingham,25,0.942202613
Birmingham,26,0.937168993
Birmingham,42,0.93212459
Birmingham,56,0.92701903
Birmingham,57,0.921859054
Birmingham,69,0.916691599
Birmingham,70,0.906260146
Birmingham,80,0.900964474
Birmingham,96,0.895589978
Birmingham,100,0.890062242
Birmingham,105,0.88451605
Birmingham,114,0.8789539
Birmingham,121,0.873281996
Birmingham,122,0.867567767
Birmingham,138,0.86180698
Birmingham,157,0.856010255
Birmingham,173,0.844277473
Birmingham,177,0.838264405
Birmingham,193,0.832230469
Birmingham,237,0.826198258
Birmingham,276,0.820121196
Birmingham,289,0.814013484
Birmingham,292,0.807814512
Birmingham,297,0.801589326
Birmingham,303,0.795330162
Birmingham,310,0.788993158
Birmingham,328,0.782612996
Birmingham,403,0.775535529
Birmingham,439,0.768406166
Birmingham,517,0.754205864
Birmingham,553,0.746968279
Birmingham,558,0.739605078
Birmingham,723,0.731440595
Birmingham,732,0.722929528
Birmingham,827,0.71339094
Birmingham,1258,0.70309116
Birmingham,1572,0.688666809
Birmingham,1582,0.673950893
Birmingham,1826,0.673950893
Harefield,0,1
Harefield,0,0.995952148
Harefield,1,0.991894019
Harefield,3,0.987817645
Harefield,4,0.985776527
Harefield,6,0.981691483
Harefield,7,0.979642045
Harefield,8,0.977588392
Harefield,9,0.975528171
Harefield,10,0.973464721
Harefield,11,0.971398147
Harefield,13,0.969325951
Harefield,15,0.967248928
Harefield,16,0.965166236
Harefield,19,0.961003426
Harefield,25,0.958914916
Harefield,29,0.956822764
Harefield,38,0.954731556
Harefield,41,0.952638673
Harefield,42,0.948450267
Harefield,44,0.946349403
Harefield,49,0.944243452
Harefield,52,0.940032486
Harefield,64,0.937919639
Harefield,72,0.935799567
Harefield,115,0.933621727
Harefield,118,0.931445327
Harefield,121,0.929267591
Harefield,123,0.927088132
Harefield,127,0.924907718
Harefield,141,0.922724325
Harefield,144,0.920540933
Harefield,163,0.918353749
Harefield,164,0.916166042
Harefield,166,0.913966955
Harefield,190,0.911764861
Harefield,191,0.909556536
Harefield,198,0.907343374
Harefield,203,0.905127005
Harefield,213,0.902911241
Harefield,215,0.900695233
Harefield,216,0.898475492
Harefield,269,0.8962552
Harefield,298,0.894026204
Harefield,303,0.891795756
Harefield,348,0.889533638
Harefield,351,0.887265691
Harefield,361,0.884975064
Harefield,375,0.882675467
Harefield,398,0.88031541
Harefield,412,0.877930524
Harefield,415,0.875545395
Harefield,436,0.873144839
Harefield,441,0.870739224
Harefield,463,0.868321453
Harefield,505,0.865896109
Harefield,548,0.86104089
Harefield,552,0.858603456
Harefield,575,0.856165039
Harefield,644,0.853719945
Harefield,652,0.851247287
Harefield,660,0.848759953
Harefield,661,0.846269927
Harefield,697,0.843719419
Harefield,739,0.840961579
Harefield,740,0.838200555
Harefield,753,0.835387008
Harefield,755,0.83255573
Harefield,811,0.829486401
Harefield,826,0.826392082
Harefield,836,0.823295051
Harefield,838,0.820190563
Harefield,907,0.817083203
Harefield,938,0.813968997
Harefield,954,0.810849771
Harefield,987,0.807712779
Harefield,1008,0.804546218
Harefield,1059,0.80133933
Harefield,1066,0.798100306
Harefield,1136,0.794367131
Harefield,1148,0.790562844
Harefield,1191,0.786626635
Harefield,1317,0.782648988
Harefield,1343,0.778638186
Harefield,1351,0.7745758
Harefield,1557,0.768788885
Harefield,1563,0.762996503
Harefield,1645,0.757064103
Harefield,1733,0.751106156
Harefield,1745,0.745129726
Harefield,1762,0.738997102
Harefield,1783,0.732584158
Harefield,1784,0.726149271
Harefield,1826,0.726149271
Manchester,0,1
Manchester,0,0.997091064
Manchester,1,0.994179087
Manchester,2,0.991261636
Manchester,5,0.988336768
Manchester,10,0.98539286
Manchester,28,0.982423419
Manchester,51,0.97944667
Manchester,52,0.976463309
Manchester,53,0.973481559
Manchester,58,0.970485183
Manchester,82,0.967458039
Manchester,88,0.964423814
Manchester,91,0.961389151
Manchester,103,0.958314935
Manchester,112,0.955212071
Manchester,119,0.952106512
Manchester,154,0.945901515
Manchester,188,0.942777804
Manchester,198,0.93963041
Manchester,208,0.936474998
Manchester,246,0.933305107
Manchester,262,0.930124903
Manchester,267,0.926945251
Manchester,268,0.923756467
Manchester,274,0.920549394
Manchester,301,0.917327645
Manchester,312,0.914090335
Manchester,318,0.910837408
Manchester,327,0.907553194
Manchester,330,0.904260338
Manchester,331,0.897674395
Manchester,344,0.890928157
Manchester,373,0.887399514
Manchester,374,0.883849019
Manchester,394,0.88028089
Manchester,415,0.876701755
Manchester,439,0.873092488
Manchester,449,0.869477055
Manchester,450,0.865860111
Manchester,452,0.862224896
Manchester,472,0.85857998
Manchester,480,0.854907743
Manchester,507,0.851211698
Manchester,511,0.847514517
Manchester,568,0.843797983
Manchester,593,0.840056652
Manchester,595,0.836307682
Manchester,604,0.832537256
Manchester,620,0.828744809
Manchester,625,0.82493478
Manchester,665,0.821017734
Manchester,703,0.816864198
Manchester,704,0.812693387
Manchester,756,0.808148067
Manchester,772,0.803558454
Manchester,776,0.798925119
Manchester,869,0.79418747
Manchester,876,0.789440692
Manchester,923,0.784673485
Manchester,1002,0.779859522
Manchester,1007,0.775044195
Manchester,1030,0.770206653
Manchester,1045,0.765279307
Manchester,1082,0.760013426
Manchester,1110,0.75450965
