rec_unit,time,tx_surv,rem_surv
Newcastle,0,1,1
Newcastle,0,0.991857148,0.999011723
Newcastle,1,0.985706724,0.998014893
Newcastle,2,0.981592826,0.996001583
Newcastle,4,0.977462383,0.994980596
Newcastle,6,0.975388285,0.993933302
Newcastle,7,0.973304926,0.993933302
Newcastle,8,0.971221919,0.993933302
Newcastle,10,0.967056291,0.993933302
Newcastle,11,0.964966001,0.993933302
Newcastle,12,0.962876509,0.993933302
Newcastle,13,0.960787985,0.993933302
Newcastle,15,0.958700231,0.993933302
Newcastle,16,0.956614979,0.993933302
Newcastle,17,0.954531177,0.993933302
Newcastle,18,0.948281278,0.993933302
Newcastle,21,0.948281278,0.992858609
Newcastle,22,0.946191733,0.991783202
Newcastle,24,0.939928665,0.99070085
Newcastle,25,0.937830755,0.989612012
Newcastle,28,0.937830755,0.988520208
Newcastle,30,0.933621353,0.987426262
Newcastle,31,0.92940697,0.986324967
Newcastle,32,0.92940697,0.985218722
Newcastle,33,0.927287667,0.985218722
Newcastle,34,0.925166209,0.985218722
Newcastle,35,0.920921787,0.985218722
Newcastle,36,0.916673822,0.985218722
Newcastle,38,0.916673822,0.984092514
Newcastle,39,0.914546178,0.984092514
Newcastle,40,0.912416617,0.982965072
Newcastle,41,0.910278024,0.981819177
Newcastle,42,0.906000745,0.981819177
Newcastle,45,0.90386285,0.98066757
Newcastle,47,0.901719924,0.979511914
Newcastle,48,0.897436557,0.979511914
Newcastle,49,0.893152422,0.979511914
Newcastle,50,0.893152422,0.977173887
Newcastle,51,0.89100011,0.975999652
Newcastle,53,0.886688772,0.974820069
Newcastle,54,0.882371373,0.97363267
Newcastle,57,0.875885304,0.97363267
Newcastle,58,0.875885304,0.9724304
Newcastle,59,0.871553713,0.971226512
Newcastle,60,0.867217724,0.971226512
Newcastle,61,0.865040677,0.971226512
Newcastle,62,0.862860633,0.971226512
Newcastle,64,0.862860633,0.967579954
Newcastle,65,0.860675494,0.967579954
Newcastle,67,0.858487964,0.967579954
